Type,stop_id,stop_name,stop_lat,stop_lon
Regional Bus,19517,Green Creek Rd/Donald - Stawell Rd (Campbells Bridge),-36.916095755,142.785570392
Regional Bus,19521,6006 Donald -Stawell Rd (Callawadda),-36.81414564,142.785563196
Regional Bus,19523,Park Rd/Donald Stawell Rd (Marnoo),-36.671362760,142.869764272
Regional Bus,19552,Douro St/Victoria St (North Geelong),-38.122554598,144.348221521
Regional Bus,19553,Roseneath St/Victoria St (North Geelong),-38.122719999,144.348363812
Regional Bus,19793,Park Rd/Donald Stawell Rd (Marnoo),-36.671410044,142.869828836
Regional Bus,19794,6003 Donald Stawell Rd (Callawadda),-36.814130438,142.785642453
Regional Bus,19795,Greens Creek Rd/Donald -Stawell Rd (Campbells Bridge),-36.916243178,142.785663229
Regional Bus,19798,Stawell Leisure Centre/Houston St (Stawell),-37.051524475,142.779451126
Regional Bus,19799,Community Health Centre/Patrick St (Stawell),-37.055802451,142.783731776
Regional Bus,20354,Wallan Railway Station (Wallan),-37.416536322,145.005358272
Regional Bus,20816,Sunbury Railway Station (Sunbury),-37.579123731,144.728552008
Regional Bus,20830,Gisborne Station/Early St (New Gisborne),-37.459199558,144.598946998
Regional Bus,20831,Riddells Creek Railway Station (Riddells Creek),-37.464546845,144.679362400
Regional Bus,20832,Clarkefield Railway Station (Clarkefield),-37.483423968,144.745759356
Regional Bus,20856,Nowa Nowa General Store/Princes Hwy (Nowa Nowa),-37.732312568,148.091595886
Regional Bus,20863,Genoa Hotel/Alexanders Rd (Genoa),-37.475060144,149.592002941
Regional Bus,20884,Maldon Post Office/High St (Maldon),-36.995972442,144.068003040
Regional Bus,20887,General Store/Mallee Hwy (Tooleybuc (NSW)),-35.027901863,143.336798012
Regional Bus,20889,Morrissey St/Waverley Ave (Merrigum),-36.371853864,145.132026303
Regional Bus,20890,Goornong Newsagency/Midland Hwy (Goornong),-36.615225521,144.505060342
Regional Bus,20901,Family Store/Malaya Rd (Puckapunyal),-37.001332823,145.039387680
Regional Bus,20902,Raymond Island Ferry Terminal/Devon Rd (Paynesville),-37.919101125,147.725064337
Regional Bus,20903,Latrobe Regional Hospital (Traralgon),-38.218913670,146.470309291
Regional Bus,20916,Trentham Milk Bar/Market St (Trentham),-37.389573978,144.322910622
Regional Bus,21188,Scott St/Lyle St (Warracknabeal),-36.253337091,142.395423524
Regional Bus,21462,Moe Railway Station (Moe),-38.176999830,146.260753364
Regional Bus,21463,Trafalgar Railway Station (Trafalgar),-38.207549185,146.154837825
Regional Bus,21464,Longwarry Railway Station (Longwarry),-38.111392046,145.767184349
